date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:26	104381/104381	---M-Z	200	added ('OK')	text/html	etag:W/%22185b2-YyOWbfN4mBQwG6B0YJezsxrXAr0%22	https://elcomercio.pe/saltar-intro/	C:/proyectoHtrack/ANGIE/elcomercio.pe/saltar-intro/index.html	(from https://elcomercio.pe/)
20:04:26	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2001:04:27%20GMT	https://elcomercio.pe/compromiso-autoregulacion-comercial.pdf	C:/proyectoHtrack/ANGIE/elcomercio.pe/compromiso-autoregulacion-comercial.pdf	(from https://elcomercio.pe/)
20:04:27	197149/197149	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f292588db1416492aa1f8ce5a18668eb%22	https://elcomercio.pe/pf/resources/assets/js/sdk.v3.min.js?d=2333	C:/proyectoHtrack/ANGIE/elcomercio.pe/pf/resources/assets/js/sdk.v3.min992d.js	(from https://elcomercio.pe/)
20:04:27	6527/6527	---M--	200	added ('OK')	binary/octet-stream	etag:%225302d4307852aa1ce222952456f073e1%22	https://cdna.elcomercio.pe/resources/assets/js/lazyload.js?d=1	C:/proyectoHtrack/ANGIE/cdna.elcomercio.pe/resources/assets/js/lazyload2d2b.js	(from https://elcomercio.pe/)
20:04:28	269807/269807	---MCZ	200	added ('OK')	text/html	etag:W/%2240be4-ABJUhGvz43K/jYRRji7Bj8j9ZhI%22	https://elcomercio.pe/opinion/	C:/proyectoHtrack/ANGIE/elcomercio.pe/opinion/index.html	(from https://elcomercio.pe/)
20:04:28	230059/230059	---M-Z	200	added ('OK')	text/html	etag:W/%223709f-fr4Oby8ZWdhUz2NfEH8JGIHlTl8%22	https://elcomercio.pe/economia/	C:/proyectoHtrack/ANGIE/elcomercio.pe/economia/index.html	(from https://elcomercio.pe/)
20:04:29	226607/226607	---M-Z	200	added ('OK')	text/html	etag:W/%2236324-daZ3ZOuSO78XoXngcpKzrwvu6bw%22	https://elcomercio.pe/peru/	C:/proyectoHtrack/ANGIE/elcomercio.pe/peru/index.html	(from https://elcomercio.pe/)
20:04:29	44028/44028	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdd59dabd7637c8877da935ed188f4ff%22	https://d1r08wok4169a5.cloudfront.net/gpt-adtmp/gpt-adtmp.js?v=2022-11-09	C:/proyectoHtrack/ANGIE/d1r08wok4169a5.cloudfront.net/gpt-adtmp/gpt-adtmp6ebf.js	(from https://elcomercio.pe/)
20:04:30	230604/230604	---M-Z	200	added ('OK')	text/html	etag:W/%22372c2-1rgpPTq+nOCdeyvdIBhF4jd4rzo%22	https://elcomercio.pe/mundo/	C:/proyectoHtrack/ANGIE/elcomercio.pe/mundo/index.html	(from https://elcomercio.pe/)
20:04:30	229063/229063	---M-Z	200	added ('OK')	text/html	etag:W/%2236cbb-ZpYHllyFl9gFPMjFDYYmGaT7AuQ%22	https://elcomercio.pe/lima/	C:/proyectoHtrack/ANGIE/elcomercio.pe/lima/index.html	(from https://elcomercio.pe/)
20:04:30	229436/229436	---M-Z	200	added ('OK')	text/html	etag:W/%2236e30-LN06Ge1l9LkooFXYKkUvpwNafcE%22	https://elcomercio.pe/politica/	C:/proyectoHtrack/ANGIE/elcomercio.pe/politica/index.html	(from https://elcomercio.pe/)
20:04:38	228986/228986	---M-Z	200	added ('OK')	text/html	etag:W/%2236c6f-jmGoM9d1FzWwYCgOGKPXd3jB5Qc%22	https://elcomercio.pe/tvmas/	C:/proyectoHtrack/ANGIE/elcomercio.pe/tvmas/index.html	(from https://elcomercio.pe/)
20:04:40	224203/224203	---M-Z	200	added ('OK')	text/html	etag:W/%22359c0-/2GnhvU7L71qbtkb/QwJ++AeySw%22	https://elcomercio.pe/respuestas/	C:/proyectoHtrack/ANGIE/elcomercio.pe/respuestas/index.html	(from https://elcomercio.pe/)
20:04:40	228700/228700	---MCZ	200	added ('OK')	text/html	etag:W/%2236b52-r14eiAeoqXCucAaRhY6tRomVqfY%22	https://elcomercio.pe/luces/	C:/proyectoHtrack/ANGIE/elcomercio.pe/luces/index.html	(from https://elcomercio.pe/)
20:04:41	115705/115705	---M-Z	200	added ('OK')	text/html	etag:W/%221b1ee-pBnPSgCuQXFLwRYYcTVGI2WcxeU%22	https://elcomercio.pe/somos/	C:/proyectoHtrack/ANGIE/elcomercio.pe/somos/index.html	(from https://elcomercio.pe/)
20:04:41	231267/231267	---M-Z	200	added ('OK')	text/html	etag:W/%2237558-s7jpm6TX2UUQMSyMDquSjp8NJ+Y%22	https://elcomercio.pe/tecnologia/	C:/proyectoHtrack/ANGIE/elcomercio.pe/tecnologia/index.html	(from https://elcomercio.pe/)
20:04:41	241126/241126	---M-Z	200	added ('OK')	text/html	etag:W/%2239bda-MK4nj2gof2T4gOAzk3uzdyrd1MQ%22	https://elcomercio.pe/deporte-total/	C:/proyectoHtrack/ANGIE/elcomercio.pe/deporte-total/index.html	(from https://elcomercio.pe/)
20:04:41	237929/237929	---M-Z	200	added ('OK')	text/html	etag:W/%2238f5e-irw3SLPeDvaq+9+5h8ht+tnQvJ4%22	https://elcomercio.pe/vamos/	C:/proyectoHtrack/ANGIE/elcomercio.pe/vamos/index.html	(from https://elcomercio.pe/)
20:04:42	157989/157989	---M-Z	200	added ('OK')	text/html	etag:W/%2225719-9vQt5FxqzbPg563SOK9NfpAufDY%22	https://elcomercio.pe/viu/	C:/proyectoHtrack/ANGIE/elcomercio.pe/viu/index.html	(from https://elcomercio.pe/)
20:04:42	65499/65499	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256de00ef-ffdb%22	https://static.chartbeat.com/js/inpage.js	C:/proyectoHtrack/ANGIE/static.chartbeat.com/js/inpage.js	(from http://static.chartbeat.com/js/chartbeat.js)
20:04:42	141994/141994	---M-Z	200	added ('OK')	text/html	etag:W/%222189f-I528bbaCh/BSjBkRLoieqo83IlI%22	https://elcomercio.pe/casa-y-mas/	C:/proyectoHtrack/ANGIE/elcomercio.pe/casa-y-mas/index.html	(from https://elcomercio.pe/)
20:04:42	121083/121083	---M-Z	200	added ('OK')	text/html	etag:W/%221c6f0-ArSu+TePxnj0L9eotrCdex43b9k%22	https://elcomercio.pe/ruedas-tuercas/	C:/proyectoHtrack/ANGIE/elcomercio.pe/ruedas-tuercas/index.html	(from https://elcomercio.pe/)
20:04:42	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2001:04:43%20GMT	https://elcomercio.pe/GET	C:/proyectoHtrack/ANGIE/elcomercio.pe/GET	(from http://static.chartbeat.com/js/chartbeat_mab.js)
20:04:43	146280/146280	---M-Z	200	added ('OK')	text/html	etag:W/%222295d-+drASq5A7o+BuMVeN3ZvqXq3Zbk%22	https://elcomercio.pe/eldominical/	C:/proyectoHtrack/ANGIE/elcomercio.pe/eldominical/index.html	(from https://elcomercio.pe/)
